customerID,StreamingTV,StreamingMovies
7674-YTAFD,No,No
6348-SNFUS,No,Yes
1285-OKIPP,No,Yes
7825-ECJRF,Yes,Yes
1347-KTTTA,Yes,Yes
7841-TZDMQ,No,No
4195-NZGTA,No,No
7157-SMCFK,No internet service,No internet service
4709-LKHYG,No internet service,No internet service
2504-DSHIH,No,Yes
0699-NDKJM,Yes,Yes
9286-BHDQG,No,No
0230-WEQUW,Yes,No
2040-LDIWQ,Yes,Yes
6496-JDSSB,Yes,No
9408-SSNVZ,No,No
4443-EMBNA,No internet service,No internet service
6469-MRVET,No internet service,No internet service
0742-MOABM,No,No
5961-VUSRV,No internet service,No internet service
6778-JFCMK,Yes,Yes
6341-JVQGF,Yes,Yes
2232-DMLXU,Yes,No
4811-JBUVU,No,Yes
0945-TSONX,Yes,Yes
2651-ZCBXV,Yes,Yes
3316-UWXUY,No,Yes
8937-RDTHP,No,Yes
7083-MIOPC,No internet service,No internet service
1984-GPTEH,No internet service,No internet service
1251-KRREG,No,No
0621-JFHOL,No,No
9903-LYSAB,No,No
0094-OIFMO,Yes,Yes
9227-UAQFT,No internet service,No internet service
7301-ABVAD,Yes,Yes
6614-FHDBO,Yes,Yes
7576-ASEJU,Yes,Yes
9058-HRZSV,No,Yes
4522-AKYLR,No,No
0221-WMXNQ,No,No
0303-UNCIP,No,Yes
9947-OTFQU,No,No
0322-YINQP,No,No
0959-WHOKV,No,Yes
4075-JFPGR,Yes,No
4629-NRXKX,No,No
9514-JDSKI,Yes,No
3282-ZISZV,Yes,Yes
3675-YDUPJ,No internet service,No internet service
4111-BNXIF,Yes,Yes
7017-VFHAY,Yes,Yes
6655-LHBYW,Yes,Yes
4959-JOSRX,No,No
5046-NUHWD,No,Yes
7273-TEFQD,No,Yes
3606-TWKGI,Yes,Yes
7529-ZDFXI,No,Yes
7605-BDWDC,No,Yes
1950-KSVVJ,Yes,Yes
0123-CRBRT,Yes,Yes
6292-TOSSS,No internet service,No internet service
3197-ARFOY,Yes,Yes
6323-AYBRX,No internet service,No internet service
7014-ZZXAW,No internet service,No internet service
4385-GZQXV,Yes,Yes
7633-MVPUY,No,No
6366-ZGQGL,No,No
4716-HHKQH,Yes,Yes
5940-AHUHD,No,No
6432-TWQLB,No,No
4484-GLZOU,Yes,Yes
3179-GBRWV,No,Yes
8645-KWHJO,Yes,Yes
4130-MZLCC,No,No
0314-TKOSI,No,No
8229-MYEJZ,No,No
2080-SRCDE,No internet service,No internet service
9577-WJVCQ,No,No
9512-UIBFX,Yes,Yes
6202-DYYFX,No,No
3808-HFKDE,No,No
5583-SXDAG,No,No
3488-PGMQJ,No,No
3580-REOAC,No,No
7534-BFESC,No,No
3727-OWVYD,No,No
2294-SALNE,No,No
4847-TAJYI,Yes,Yes
1563-IWQEX,No internet service,No internet service
8203-XJZRC,No internet service,No internet service
6556-DBKZF,No,No
6851-WEFYX,Yes,Yes
2985-JUUBZ,Yes,Yes
6390-DSAZX,No,No
0895-LMRSF,Yes,Yes
8098-LLAZX,Yes,Yes
8266-VBFQL,No,Yes
8181-YHCMF,Yes,Yes
2240-HSJQD,No,No
1248-DYXUB,No internet service,No internet service
0265-EDXBD,No,No
4115-BNPJY,Yes,Yes
3167-SNQPL,Yes,Yes
4091-TVOCN,Yes,Yes
1098-TDVUQ,No internet service,No internet service
7277-OZCGZ,No,Yes
1557-EMYVT,Yes,Yes
2799-ARNLO,No,No
7563-BIUPC,Yes,No
5027-YOCXN,Yes,Yes
3973-SKMLN,No internet service,No internet service
2321-OMBXY,Yes,Yes
2840-XANRC,Yes,Yes
6745-JEFZB,Yes,No
5020-ZSTTY,Yes,Yes
9880-TDQAC,Yes,Yes
8705-WZCYL,No,No
7102-JJVTX,No,No
8626-PTQGE,Yes,Yes
4983-CLMLV,Yes,Yes
5701-YVSVF,Yes,No
5804-LEPIM,No,No
5697-GOMBF,Yes,No
2739-CACDQ,No,No
9385-EHGDO,No internet service,No internet service
9498-FIMXL,No internet service,No internet service
2379-GYFLQ,Yes,No
0122-OAHPZ,No,No
2868-SNELZ,No,No
4322-RCYMT,No,Yes
6680-NENYN,Yes,Yes
2088-IEBAU,Yes,Yes
7982-VCELR,Yes,Yes
1343-EHPYB,Yes,Yes
6035-BXTTY,No,No
6885-PKOAM,Yes,Yes
7520-HQWJU,No,No
9639-BUJXT,No internet service,No internet service
5924-SNGKP,No internet service,No internet service
0021-IKXGC,No,No
2034-GDRCN,Yes,Yes
8966-SNIZF,No internet service,No internet service
6243-OZGFH,Yes,Yes
4654-DLAMQ,No,Yes
0513-RBGPE,No,No
5160-UXJED,No,No
4115-NZRKS,Yes,Yes
0219-YTZUE,No,No
0623-IIHUG,Yes,No
4572-DVCGN,No,Yes
3351-NGXYI,No,No
8984-EYLLL,Yes,Yes
9057-MSWCO,No,No
9833-TGFHX,Yes,Yes
9294-TDIPC,No internet service,No internet service
5229-DTFYB,Yes,Yes
0104-PPXDV,No,No
5176-LMJXE,No internet service,No internet service
3583-KRKMD,No,No
1010-DIAUQ,Yes,Yes
9069-LGEUL,No,Yes
7302-ZHMHP,No internet service,No internet service
9571-EDEBV,Yes,Yes
3520-FJGCV,Yes,Yes
6563-VRERX,No internet service,No internet service
0259-GBZSH,Yes,No
6122-EFVKN,No,No
2805-EDJPQ,No,Yes
6862-CQUMB,Yes,Yes
7156-MXBJE,Yes,Yes
6158-HDPXZ,No,No
9601-BRXPO,Yes,Yes
2863-IMQDR,Yes,Yes
5686-CMAWK,No,No
5651-CRHKQ,No,No
6905-NIQIN,No,No
8204-YJCLA,Yes,Yes
5167-ZFFMM,No,Yes
6583-SZVGP,Yes,Yes
4895-TMWIR,No internet service,No internet service
0533-BNWKF,No,No
1708-PBBOA,No,Yes
8782-LKFPK,No,Yes
5522-JBWMO,No,No
3597-MVHJT,Yes,Yes
9774-NRNAU,Yes,Yes
0224-RLWWD,No,No
9967-ATRFS,No internet service,No internet service
3951-NJCVI,Yes,Yes
2977-CEBSX,Yes,Yes
0177-PXBAT,Yes,Yes
6599-CEBNN,No,No
2519-ERQOJ,Yes,Yes
5876-QMYLD,No internet service,No internet service
2277-AXSDC,No internet service,No internet service
9442-JTWDL,No internet service,No internet service
0979-PHULV,Yes,Yes
3067-SVMTC,No,No
5495-GPSRW,No internet service,No internet service
7606-BPHHN,No internet service,No internet service
4742-DRORA,Yes,No
0111-KLBQG,Yes,Yes
4800-VHZKI,No internet service,No internet service
7989-CHGTL,No internet service,No internet service
0334-GDDSO,No,No
4163-NCJAK,No internet service,No internet service
5233-AOZUF,No,No
5973-EJGDP,No,No
1996-DBMUS,No,No
7916-VCCPB,No,No
4686-GEFRM,No,Yes
5249-QYHEX,No internet service,No internet service
0578-SKVMF,No,Yes
5564-NEMQO,No,No
2233-FAGXV,No internet service,No internet service
5605-IYGFG,No,No
7663-ZTEGJ,No,Yes
3935-TBRZZ,No internet service,No internet service
8111-BKVDS,No,No
2055-SIFSS,No,No
2806-MLNTI,Yes,Yes
8734-DKSTZ,No,Yes
4360-PNRQB,No,No
6152-ONASV,No,No
9063-ZGTUY,No internet service,No internet service
7781-HVGMK,Yes,Yes
2181-UAESM,No,No
2957-LOLHO,No,No
6048-NJXHX,No internet service,No internet service
2320-SLKMB,Yes,No
4980-URKXC,No internet service,No internet service
4376-KFVRS,Yes,Yes
5886-VLQVU,No,Yes
3577-AMVUX,No,No
0771-WLCLA,Yes,Yes
5628-RKIFK,Yes,Yes
0206-TBWLC,Yes,Yes
2937-FTHUR,No,Yes
1910-FMXJM,No,Yes
7752-XUSCI,Yes,Yes
4110-PFEUZ,No,No
0732-OCQOC,No internet service,No internet service
5168-MSWXT,Yes,Yes
1090-ESELR,Yes,Yes
8592-PLTMQ,No internet service,No internet service
5760-WRAHC,No,Yes
8847-GEOOQ,Yes,Yes
0256-LTHVJ,No,Yes
4785-FCIFB,No internet service,No internet service
8313-NDOIA,Yes,Yes
5149-CUZUJ,Yes,No
0942-KOWSM,Yes,Yes
4237-CLSMM,No internet service,No internet service
1452-VOQCH,No,No
4719-UMSIY,No internet service,No internet service
6614-VBEGU,Yes,Yes
0880-TKATG,Yes,Yes
3811-VBYBZ,Yes,Yes
1480-BKXGA,Yes,Yes
2996-XAUVF,No,Yes
9076-AXYIK,Yes,Yes
5968-XQIVE,Yes,No
8896-RAZCR,No internet service,No internet service
4640-UHDOS,No,Yes
4933-IKULF,No internet service,No internet service
3583-EKAPL,No,Yes
1304-BCCFO,Yes,Yes
4104-PVRPS,No,No
9399-APLBT,No,No
2359-KMGLI,No,No
3780-DDGSE,Yes,Yes
4431-EDMIQ,Yes,No
0306-JAELE,Yes,Yes
6227-HWPWX,No,No
0486-LGCCH,No internet service,No internet service
0447-BEMNG,No,Yes
4612-SSVHJ,No,Yes
5168-MQQCA,Yes,Yes
5949-XIKAE,Yes,No
7971-HLVXI,No,Yes
9094-AZPHK,Yes,Yes
3649-JPUGY,Yes,Yes
4472-LVYGI,Yes,No
8372-JUXUI,No,No
3552-CTCYF,Yes,Yes
6778-YSNIH,Yes,No
0388-EOPEX,No,No
5756-OZRIO,No,Yes
6579-JPICP,No internet service,No internet service
8205-OTCHB,No,Yes
4134-BSXLX,No,No
0505-SPOOW,No internet service,No internet service
6235-VDHOM,No,No
7783-YKGDV,No,Yes
4374-YMUSQ,Yes,Yes
4513-CXYIX,No,No
3957-HHLMR,No,Yes
7803-XOCCZ,No,No
5736-YEJAX,Yes,No
5609-CEBID,No,Yes
8981-FJGLA,No,No
7218-HKQFK,Yes,Yes
4636-QRJKY,No,No
1135-LMECX,No internet service,No internet service
4332-MUOEZ,No,Yes
8535-SFUTN,Yes,Yes
5956-VKDTT,No,No
8677-HDZEE,Yes,Yes
2475-MROZF,No,No
9412-GHEEC,Yes,Yes
3482-ABPKK,No,No
6705-LXORM,No,No
0257-ZESQC,No,No
7531-GQHME,No internet service,No internet service
5174-ITUMV,Yes,Yes
4109-CYRBD,No,No
0913-XWSCN,No,Yes
6825-UYPFK,No,No
8397-MVTAZ,Yes,Yes
0750-EBAIU,Yes,No
8606-CIQUL,Yes,Yes
3571-DPYUH,Yes,No
7601-GNDYK,No internet service,No internet service
0356-OBMAC,Yes,No
8067-NIOYM,No internet service,No internet service
1403-GYAFU,No internet service,No internet service
4234-XTNEA,Yes,No
1297-VQDRP,Yes,Yes
9282-IZGQK,No,Yes
5348-CAGXB,Yes,No
0621-HJWXJ,No,No
5844-QVTAT,No,No
8905-IAZPF,Yes,Yes
5394-MEITZ,Yes,Yes
6859-QNXIQ,Yes,Yes
2782-LFZVW,No,Yes
2866-IKBTM,No internet service,No internet service
1342-JPNKI,Yes,No
2817-NTQDO,Yes,No
7129-AZJDE,No,Yes
6986-IJDHX,Yes,No
2560-PPCHE,Yes,Yes
4676-MQUEA,Yes,No
8138-EALND,No internet service,No internet service
3580-HYCSP,Yes,Yes
1352-HNSAW,Yes,Yes
2075-PUEPR,No internet service,No internet service
1982-FEBTD,No internet service,No internet service
5301-GAUUY,No,No
5791-KAJFD,No,Yes
2654-VBVPB,No internet service,No internet service
1154-HYWWO,Yes,No
2501-XWWTZ,No,No
3716-UVSPD,No,No
6815-ABQFQ,Yes,Yes
7343-EOBEU,No internet service,No internet service
3701-SFMUH,Yes,Yes
6103-LIANB,Yes,Yes
7319-VENRZ,Yes,No
5846-NEQVZ,No,Yes
6967-QIQRV,Yes,Yes
5781-RFZRP,Yes,No
0939-YAPAF,Yes,Yes
0308-IVGOK,No,No
7293-LSCDV,No internet service,No internet service
7025-WCBNE,No,No
5756-JYOJT,No,Yes
4710-FDUIZ,Yes,Yes
6030-REHUX,Yes,Yes
9548-LIGTA,Yes,Yes
5150-LJNSR,Yes,No
8270-RKSAP,No,No
6522-YRBXD,No,Yes
2640-LYMOV,No internet service,No internet service
1218-VKFPE,No internet service,No internet service
3627-FHKBK,No,No
2865-TCHJW,Yes,No
1423-BMPBQ,No internet service,No internet service
2393-DIVAI,No internet service,No internet service
5192-EBGOV,Yes,No
4568-KNYWR,Yes,No
8752-IMQOS,No internet service,No internet service
0742-LAFQK,No,Yes
0795-LAFGP,Yes,Yes
0619-OLYUR,Yes,Yes
5512-IDZEI,No internet service,No internet service
0459-SPZHJ,Yes,Yes
0215-BQKGS,No,No
9244-ZVAPM,No,No
0719-SYFRB,No,No
8208-EUMTE,Yes,No
5172-MIGPM,No,Yes
1710-RCXUS,No,Yes
0374-FIUCA,No internet service,No internet service
5839-SUYVZ,No,No
5173-ZXXXL,No internet service,No internet service
1096-ADRUX,No,No
2001-MCUUW,Yes,Yes
2731-GJRDG,Yes,Yes
4723-BEGSG,Yes,Yes
6516-NKQBO,Yes,Yes
8672-OAUPW,No,No
8207-DMRVL,Yes,Yes
3419-SNJJD,Yes,Yes
6543-CPZMK,No,No
4765-OXPPD,No,No
2804-ETQDK,No internet service,No internet service
6689-VRRTK,Yes,Yes
7138-GIRSH,No,Yes
9396-ZSFLL,No,No
6464-KEXXH,No,No
7134-MJPDY,Yes,Yes
5240-CAOYT,No,No
4059-IIEBK,No,No
4881-JVQOD,No,Yes
0516-UXRMT,No,No
4851-BQDNX,Yes,No
5148-HKFIR,No internet service,No internet service
1009-IRMNA,No internet service,No internet service
3003-CMDUU,Yes,Yes
5016-IBERQ,No,No
6797-UCJHZ,Yes,Yes
2469-DTSGX,Yes,Yes
4554-YGZIH,No,Yes
5099-BAILX,Yes,Yes
9931-KGHOA,No,No
1775-KWJKQ,Yes,Yes
7665-VIGUD,No internet service,No internet service
9411-TPQQV,Yes,Yes
7207-RMRDB,Yes,Yes
7954-MLBUN,Yes,Yes
2077-DDHJK,No,No
4913-EHYUI,Yes,Yes
0195-IESCP,No,Yes
9574-BOSMD,No internet service,No internet service
4580-TMHJU,Yes,No
0970-ETWGE,Yes,Yes
4908-XAXAY,No,Yes
8404-VLQFB,No internet service,No internet service
1626-ERCMM,Yes,Yes
0887-HJGAR,No,No
2391-IPLOP,Yes,No
5644-PDMZC,No,Yes
3509-GWQGF,No,No
9576-ANLXO,No,No
2024-BASKD,No,No
5845-BZZIB,No internet service,No internet service
1140-UKVZG,No internet service,No internet service
4160-AMJTL,No internet service,No internet service
5183-SNMJQ,Yes,Yes
8100-PNJMH,Yes,Yes
7838-LAZFO,Yes,Yes
4464-JCOLN,No internet service,No internet service
2085-JVGAD,No internet service,No internet service
5650-VDUDS,No,No
8095-WANWK,No,No
3030-ZKIWL,No internet service,No internet service
9565-FLVCG,No,Yes
8755-OGKNA,No internet service,No internet service
2800-VEQXM,No,No
7538-GWHML,No,No
5533-RJFTJ,No,No
3859-CVCET,No,No
0214-JHPFW,Yes,Yes
5642-MHDQT,No internet service,No internet service
3088-FVYWK,No internet service,No internet service
3276-HDUEG,No,No
9092-GDZKO,No internet service,No internet service
0823-HSCDJ,Yes,Yes
3729-OWRVL,Yes,Yes
2324-AALNO,No internet service,No internet service
0822-GAVAP,No,Yes
5760-IFJOZ,Yes,Yes
2826-UWHIS,No,No
1448-PWKYE,No,Yes
7501-IWUNG,Yes,Yes
4957-TREIR,Yes,No
7251-LJBQN,Yes,Yes
8040-MNRTF,No,No
1536-HBSWP,No,No
5313-FPXWG,No internet service,No internet service
0067-DKWBL,No,No
0946-FKYTX,No,No
5076-YVXCM,No,Yes
8262-COGGB,No internet service,No internet service
6663-JOCQO,No,Yes
9620-QJREV,No internet service,No internet service
2276-YDAVZ,No,No
2682-KEVRP,No internet service,No internet service
2480-JZOSN,No internet service,No internet service
0078-XZMHT,Yes,Yes
5896-NPFWW,No,No
9978-HYCIN,Yes,No
8338-QIUNR,No,No
1525-LNLOJ,Yes,No
9450-TRJUU,Yes,No
1766-GKNMI,No,Yes
6942-LBFDP,No internet service,No internet service
1456-TWCGB,No,No
7133-VBDCG,No,No
7596-ZYWBB,No,No
8329-UTMVM,Yes,Yes
3014-WJKSM,No,No
3347-YJZZE,Yes,Yes
1029-QFBEN,No internet service,No internet service
7929-DMBCV,No,No
9661-JALZV,No internet service,No internet service
5433-KYGHE,No,No
4312-KFRXN,No internet service,No internet service
5575-TPIZQ,Yes,No
0114-IGABW,Yes,Yes
9944-AEXBM,No,Yes
1853-ARAAQ,Yes,Yes
6952-OMNWB,No,No
4697-LUPSU,No internet service,No internet service
8434-VGEQQ,No internet service,No internet service
4952-YSOGZ,No,Yes
1589-AGTLK,No,No
5244-IRFIH,Yes,Yes
6549-YMFAW,No internet service,No internet service
4950-HKQTE,No internet service,No internet service
6786-OBWQR,Yes,No
2684-EIWEO,No,No
2753-JMMCV,No,Yes
6439-GTPCA,No,No
6621-YOBKI,No internet service,No internet service
1216-JWVUX,No,No
7564-GHCVB,No,No
1173-NOEYG,No,Yes
7595-EHCDL,Yes,Yes
6647-ZEDXT,Yes,Yes
2521-NPUZR,No,Yes
1307-TVUFB,No,No
7503-MIOGA,Yes,Yes
4381-MHQDC,No,No
6923-JHPMP,No,No
5138-WVKYJ,Yes,Yes
4018-PPNDW,No internet service,No internet service
1635-FJFCC,No,No
2499-AJYUA,Yes,Yes
6919-ELBGL,Yes,Yes
3966-HRMZA,No,No
6425-JWTDV,No internet service,No internet service
8405-IGQFX,Yes,No
8224-IVVPA,No,No
9477-LGWQI,Yes,Yes
1410-RSCMR,No,Yes
3115-CZMZD,No internet service,No internet service
0139-IVFJG,Yes,No
6683-VLCTZ,Yes,Yes
5730-DBDSI,No internet service,No internet service
0030-FNXPP,No internet service,No internet service
2189-WWOEW,No,Yes
5684-FJVYR,No,No
4013-GUXND,No internet service,No internet service
1894-IGFSG,Yes,Yes
7379-POKDZ,No,No
1266-NZYUI,No,No
7969-FFOWG,No internet service,No internet service
4718-DHSMV,Yes,No
5175-WLYXL,No,No
7817-OMJNA,No internet service,No internet service
8728-SKJLR,No,No
3137-NYQQI,No,Yes
7706-DZNKK,No internet service,No internet service
0236-HFWSV,Yes,Yes
3900-AQPHZ,No internet service,No internet service
5842-POCOP,No,Yes
2037-XJFUP,Yes,Yes
8823-RLPWL,Yes,Yes
9505-SQFSW,No,Yes
7314-OXENN,No,No
3758-CKOQL,No,Yes
0322-CHQRU,No,No
5676-CFLYY,Yes,Yes
7521-AFHAB,No,No
0285-INHLN,No,No
4678-DVQEO,No,No
5125-CNDSP,No,No
0691-IFBQW,Yes,Yes
4992-LTJNE,No,No
2202-OUTMO,No,No
0810-BDHAW,Yes,Yes
0229-LFJAF,No,No
7131-ZQZNK,Yes,Yes
3442-ZHHCC,No,Yes
5726-CVNYA,No internet service,No internet service
9871-ELEYA,Yes,No
4257-GAESD,Yes,Yes
5173-WXOQV,No,Yes
2040-OBMLJ,No,No
6286-ZHAOK,No internet service,No internet service
3807-XHCJH,No internet service,No internet service
3009-JWMPU,Yes,Yes
5671-RQRLP,No,No
1450-GALXR,Yes,Yes
8859-AXJZP,No internet service,No internet service
3174-AKMAS,Yes,No
3138-BKYAV,Yes,No
9926-PJHDQ,Yes,Yes
7382-DFJTU,No,No
2798-NYLMZ,Yes,Yes
4289-DTDKW,Yes,Yes
1820-TQVEV,No,No
2239-JALAW,Yes,Yes
4853-RULSV,Yes,Yes
8098-TDCBU,No internet service,No internet service
3551-GAEGL,No,No
4785-NKHCX,No internet service,No internet service
3196-NVXLZ,Yes,No
6275-YDUVO,No,Yes
0036-IHMOT,Yes,Yes
0115-TFERT,Yes,Yes
4178-EGMON,No,No
4220-TINQT,Yes,Yes
5318-YKDPV,Yes,Yes
7975-TZMLR,Yes,Yes
0295-QVKPB,Yes,No
4335-BSMJS,No internet service,No internet service
2311-QYMUQ,Yes,No
3643-AHCFP,Yes,Yes
9146-JRIOX,No internet service,No internet service
3104-OWCGK,Yes,No
5337-IIWKZ,Yes,No
9101-BWFSS,Yes,Yes
9650-VBUOG,No internet service,No internet service
3487-EARAT,No,Yes
2672-TGEFF,Yes,No
9231-ZJYAM,Yes,No
4250-WAROZ,No,Yes
8184-WMOFI,No,Yes
6982-SSHFK,No,No
6092-QZVPP,Yes,Yes
4625-LAMOB,No internet service,No internet service
0727-BMPLR,Yes,Yes
0392-BZIUW,Yes,Yes
1038-ZAGBI,No internet service,No internet service
6549-NNDYT,No,No
3027-ZTDHO,Yes,Yes
0422-OHQHQ,No internet service,No internet service
6916-HIJSE,Yes,Yes
2316-ESMLS,No,No
9778-OGKQZ,Yes,Yes
7408-OFWXJ,Yes,Yes
6007-TCTST,Yes,Yes
2252-NKNSI,Yes,Yes
8713-IGZSO,No internet service,No internet service
7905-TVXTA,Yes,No
7695-PKLCZ,No internet service,No internet service
2382-BCKQJ,Yes,Yes
8374-UULRV,Yes,Yes
2207-NHRJK,No,No
3224-DFQNQ,No,No
5275-PMFUT,Yes,Yes
4795-UXVCJ,No internet service,No internet service
9777-IQHWP,No,Yes
0947-MUGVO,No,No
9944-HKVVB,Yes,Yes
4124-MMETB,Yes,Yes
3671-SHRSP,No,No
0979-MOZQI,Yes,No
2732-ISEZX,No internet service,No internet service
3313-QKNKB,No,Yes
0323-XWWTN,No internet service,No internet service
1937-OTUKY,Yes,No
1573-LGXBA,Yes,Yes
1764-VUUMT,No internet service,No internet service
5073-WXOYN,Yes,Yes
4713-ZBURT,Yes,Yes
3050-GBUSH,Yes,No
0207-MDKNV,Yes,Yes
7876-AEHIG,Yes,Yes
7945-HLKEA,No,No
